11.41|15.98|17.49|15.23|
11.36|15.91|17.53|15.31|
11.32|15.82|17.58|15.41|
11.30|15.74|17.59|15.51|
11.29|15.64|17.57|15.61|
11.25|15.53|17.59|15.71|
11.17|15.40|17.67|15.81|
11.05|15.26|17.83|15.90|
10.94|15.13|18.01|15.97|
10.87|15.03|18.14|16.03|
10.82|14.95|18.21|16.09|
10.76|14.86|18.28|16.16|
10.65|14.75|18.44|16.25|
10.49|14.61|18.63|16.36|
10.31|14.46|18.83|16.48|
10.17|14.31|18.96|16.60|
10.10|14.18|19.01|16.70|
10.09|14.09|18.98|16.77|
10.12|14.03|18.90|16.81|
10.16|14.02|18.84|16.83|
